control_total_return,control_mean_trade_return
-0.16710137149593163,-0.0030746955531783153
0.46185742591588164,0.010352320028922897
-0.3025612682042904,-0.007056317371609023
-0.18347420361360256,-0.00274455454157455
0.10606990365380775,0.0034904710221676386
0.12129888397015987,0.005253746886318663
-0.02494295071806074,0.000829932893799973
-0.6425127768277559,-0.02290601517106889
-0.5521625836978898,-0.017133689576537485
-0.4611258238241761,-0.012683852239001241
0.6220589648303079,0.012771114796234231
-0.31216599028886816,-0.00704480001523265
-0.2700954945095365,-0.006709455617160211
-0.06601680183579595,-8.53379000118568e-05
-0.3856025538370009,-0.010389238240581727
0.4322685429345039,0.010413180389538304
-0.15697080879557312,-0.0030771329037214217
-0.032980328906843326,-0.00011317963439153615
0.11214625206825701,0.0035103275377219036
-0.18287179646611285,-0.00396087316920411
-0.19442357112060926,-0.0036208356667334868
-0.0402179303454252,0.0006067661718057941
-0.56345401191404,-0.01794370908220826
-0.19245332144117244,-0.003985783419271366
0.010833711475566332,0.0012881123606028084
-0.14930634880521965,-0.0024830603810116676
0.2597885257187418,0.006407865416736948
0.3947516067169292,0.00950159111613209
-0.0892260315777077,-0.00022987232940747246
-0.2734674495951468,-0.006184128670508982
-0.19858401287301686,-0.004249106242382348
-0.1326610672629498,-0.0020386574894023053
-0.4284276822006181,-0.011796026890422891
-0.096355497590486,-0.0017649917436115086
0.7982902934685312,0.01546909557262818
-0.38445862096633865,-0.010242455318923593
-0.35227135524267394,-0.008774648012294767
-0.2517062231506977,-0.005856204367077548
0.012423489010868982,0.001564383278988695
0.14669305682971845,0.00403456193647412
-0.1848521738819846,-0.003136499889084941
0.10183628765391672,0.004403360077273084
0.27688765566328355,0.00661882740589008
0.03161002330340801,0.0021290267574105397
0.21048635483317457,0.006699244190348817
0.22165207870638248,0.006302384354170936
-0.226236342308185,-0.004648886637210747
-0.0721657451149208,-0.0007146495182476984
0.03158107835023394,0.0023040104633436334
0.012553084739332698,0.001958561626035943
-0.21191182076108006,-0.003498993449179176
0.12883246184077546,0.005543819630714505
