date,open,high,low,close,volume,cum_factor,adj_open,adj_high,adj_low,adj_close,adj_volume
01-07-2021,57.6,57.6,56.8,57,285178,0.970288630916284,55.88862514077796,55.88862514077796,55.11239423604493,55.30645196222819,285178
04-07-2021,56.6,58,56.6,57.2,420963,0.970288630916284,54.918336509861675,56.276740593144474,54.918336509861675,55.50050968841145,420963
05-07-2021,57,57.2,56.2,57.1,167093,0.970288630916284,55.30645196222819,55.50050968841145,54.53022105749517,55.40348082531982,167093
06-07-2021,57,57,56.1,56.1,122855,0.970288630916284,55.30645196222819,55.30645196222819,54.43319219440354,54.43319219440354,122855
07-07-2021,56.1,56.5,55.6,56.5,162971,0.970288630916284,54.43319219440354,54.821307646770045,53.948047878945395,54.821307646770045,162971
08-07-2021,56.5,56.7,56,56.7,378842,0.970288630916284,54.821307646770045,55.015365372953305,54.33616333131191,55.015365372953305,378842
11-07-2021,56.5,57,56.1,56.9,192824,0.970288630916284,54.821307646770045,55.30645196222819,54.43319219440354,55.20942309913656,192824
12-07-2021,56.9,58.2,56.5,57.9,487633,0.970288630916284,55.20942309913656,56.470798319327734,54.821307646770045,56.179711730052844,487633
13-07-2021,58.1,58.6,57.7,58.4,361759,0.970288630916284,56.373769456236104,56.85891377169425,55.98565400386959,56.66485604551099,361759
14-07-2021,58.4,59,57.8,58.1,318896,0.970288630916284,56.66485604551099,57.24702922406076,56.082682866961214,56.373769456236104,318896
15-07-2021,58.3,58.4,57.7,58.3,142234,0.970288630916284,56.56782718241936,56.66485604551099,55.98565400386959,56.56782718241936,142234
25-07-2021,58.4,60.7,58.4,59.8,382164,0.970288630916284,56.66485604551099,58.89651989661844,56.66485604551099,58.02326012879378,382164
26-07-2021,59.9,59.9,58.9,59.9,125872,0.970288630916284,58.12028899188541,58.12028899188541,57.15000036096913,58.12028899188541,125872
27-07-2021,59.9,60,58.9,59.2,94854,0.970288630916284,58.12028899188541,58.21731785497704,57.15000036096913,57.44108695024402,94854
28-07-2021,59,59.7,58.7,59.3,170883,0.970288630916284,57.24702922406076,57.92623126570216,56.95594263478588,57.538115813335644,170883
29-07-2021,59.3,61.4,59.3,60.4,361925,0.970288630916284,57.538115813335644,59.57572193825984,57.538115813335644,58.60543330734355,361925
01-08-2021,60.4,60.6,59.8,60,266712,0.970288630916284,58.60543330734355,58.79949103352681,58.02326012879378,58.21731785497704,266712
02-08-2021,59.6,60.1,59,59.1,94146,0.970288630916284,57.82920240261053,58.31434671806867,57.24702922406076,57.34405808715239,94146
03-08-2021,59,59,57.8,57.8,114949,0.970288630916284,57.24702922406076,57.24702922406076,56.082682866961214,56.082682866961214,114949
04-08-2021,57.6,57.9,57.2,57.4,95664,0.970288630916284,55.88862514077796,56.179711730052844,55.50050968841145,55.6945674145947,95664
05-08-2021,57,57.3,56,56.7,111605,0.970288630916284,55.30645196222819,55.59753855150307,54.33616333131191,55.015365372953305,111605
08-08-2021,57,57,56.2,56.2,42409,0.970288630916284,55.30645196222819,55.30645196222819,54.53022105749517,54.53022105749517,42409
09-08-2021,56,57.8,55.8,55.9,642850,0.970288630916284,54.33616333131191,56.082682866961214,54.14210560512865,54.23913446822028,642850
10-08-2021,56,56.5,55.2,55.6,194981,0.970288630916284,54.33616333131191,54.821307646770045,53.55993242657888,53.948047878945395,194981
11-08-2021,55.6,55.6,51.1,55,160702,0.970288630916284,53.948047878945395,53.948047878945395,49.581749039822114,53.36587470039562,160702
12-08-2021,55,55,53.5,53.8,270783,0.970288630916284,53.36587470039562,53.36587470039562,51.91044175402119,52.201528343296076,270783
15-08-2021,54.1,54.3,53,53.2,54193,0.970288630916284,52.492614932570966,52.68667265875422,51.42529743856306,51.61935516474632,54193
16-08-2021,53.2,53.3,51.7,51.7,189919,0.970288630916284,51.61935516474632,51.71638402783794,50.16392221837189,50.16392221837189,189919
17-08-2021,51.9,52.8,51.7,52.2,224264,0.970288630916284,50.35797994455514,51.2312397123798,50.16392221837189,50.64906653383003,224264
18-08-2021,52.2,52.2,51.3,51.3,88947,0.970288630916284,50.64906653383003,50.64906653383003,49.77580676600537,49.77580676600537,88947
19-08-2021,51.3,52.1,50.6,51.8,233281,0.970288630916284,49.77580676600537,50.5520376707384,49.09660472436397,50.26095108146351,233281
22-08-2021,52,52,51.1,51.4,131240,0.970288630916284,50.45500880764677,50.45500880764677,49.581749039822114,49.872835629097,131240
23-08-2021,51.9,53.5,51.9,52.8,434840,0.970288630916284,50.35797994455514,51.91044175402119,50.35797994455514,51.2312397123798,434840
24-08-2021,53.3,54.7,53.1,53.9,513032,0.970288630916284,51.71638402783794,53.07478811112074,51.52232630165469,52.298557206387706,513032
25-08-2021,54,55.8,53.9,53.9,634347,0.970288630916284,52.395586069479336,54.14210560512865,52.298557206387706,52.298557206387706,634347
26-08-2021,54,54,52,52.1,303136,0.970288630916284,52.395586069479336,52.395586069479336,50.45500880764677,50.5520376707384,303136
29-08-2021,52.2,52.7,52,52.1,151003,0.970288630916284,50.64906653383003,51.13421084928817,50.45500880764677,50.5520376707384,151003
30-08-2021,52.2,52.7,52.2,52.7,131577,0.970288630916284,50.64906653383003,51.13421084928817,50.64906653383003,51.13421084928817,131577
31-08-2021,52.7,53.5,52.6,52.8,172683,0.970288630916284,51.13421084928817,51.91044175402119,51.03718198619654,51.2312397123798,172683
01-09-2021,53.3,53.7,52.8,53.2,152272,0.970288630916284,51.71638402783794,52.10449948020445,51.2312397123798,51.61935516474632,152272
02-09-2021,53.2,53.9,53,53.1,177221,0.970288630916284,51.61935516474632,52.298557206387706,51.42529743856306,51.52232630165469,177221
05-09-2021,53.1,53.4,52.8,52.9,94824,0.970288630916284,51.52232630165469,51.81341289092956,51.2312397123798,51.32826857547143,94824
06-09-2021,53,53.2,52.5,52.6,117695,0.970288630916284,51.42529743856306,51.61935516474632,50.94015312310491,51.03718198619654,117695
07-09-2021,52.6,52.6,51.9,52,157649,0.970288630916284,51.03718198619654,51.03718198619654,50.35797994455514,50.45500880764677,157649
08-09-2021,52,52,50.9,51.1,517645,0.970288630916284,50.45500880764677,50.45500880764677,49.387691313638854,49.581749039822114,517645
09-09-2021,51.1,52,50.6,50.6,363631,0.970288630916284,49.581749039822114,50.45500880764677,49.09660472436397,49.09660472436397,363631
12-09-2021,51.1,51.1,49.7,50.2,274976,0.970288630916284,49.581749039822114,49.581749039822114,48.22334495653932,48.708489271997465,274976
13-09-2021,50.2,51.4,50.1,50.7,549008,0.970288630916284,48.708489271997465,49.872835629097,48.611460408905835,49.1936335874556,549008
14-09-2021,51.5,53.8,50.9,50.9,2138790,0.970288630916284,49.96986449218863,52.201528343296076,49.387691313638854,49.387691313638854,2138790
15-09-2021,51.3,51.5,50.5,50.9,441765,0.970288630916284,49.77580676600537,49.96986449218863,48.99957586127234,49.387691313638854,441765
16-09-2021,50.9,51.7,50.2,50.2,1241544,0.970288630916284,49.387691313638854,50.16392221837189,48.708489271997465,48.708489271997465,1241544
19-09-2021,50.4,50.5,49.7,49.8,358252,0.970288630916284,48.90254699818071,48.99957586127234,48.22334495653932,48.320373819630944,358252
20-09-2021,49.75,49.8,49,49,316784,0.970288630916284,48.27185938808513,48.320373819630944,47.54414291489792,47.54414291489792,316784
21-09-2021,48.8,49.3,48.2,48.9,199739,0.970288630916284,47.35008518871466,47.8352295041728,46.76791201016489,47.44711405180629,199739
22-09-2021,48.9,49.2,48.65,48.65,86911,0.970288630916284,47.44711405180629,47.73820064108118,47.20454189407722,47.20454189407722,86911
26-09-2021,48.55,49.35,48.3,48.45,213228,0.970288630916284,47.10751303098559,47.88374393571862,46.864940873256515,47.010484167893964,213228
27-09-2021,48.45,48.65,47.4,47.5,204835,0.970288630916284,47.010484167893964,47.20454189407722,45.99168110543186,46.08870996852349,204835
28-09-2021,47.5,47.5,46.85,46.85,304191,0.970288630916284,46.08870996852349,46.08870996852349,45.45802235842791,45.45802235842791,304191
29-09-2021,46.7,47.5,46.4,46.75,379863,0.970288630916284,45.31247906379047,46.08870996852349,45.02139247451558,45.36099349533628,379863
30-09-2021,47,47.2,46.55,46.55,262514,0.970288630916284,45.60356565306535,45.79762337924861,45.16693576915302,45.16693576915302,262514
03-10-2021,46.7,46.95,46.3,46.3,279802,0.970288630916284,45.31247906379047,45.55505122151954,44.92436361142395,44.92436361142395,279802
04-10-2021,46.35,46.6,45.85,45.9,348389,0.970288630916284,44.97287804296977,45.21545020069884,44.487733727511625,44.536248159057436,348389
05-10-2021,46,47.3,45.55,45.6,687476,0.970288630916284,44.633277022149066,45.89465224234023,44.196647138236735,44.24516156978255,687476
